*Note numbering starts from top left to top right,Reservoir 1,Reservoir 2,Reservoir 3,Reservoir 4,Reservoir 5,Reservoir 6,Reservoir 7,Reservoir 8,Reservoir 9,Reservoir 10,Reservoir 11,Reservoir 12,
Well Number,Metal Salt Stock Soln 1 (1 M) (uL),Metal Salt Stock Soln 2 (1 M) (uL),Metal Salt Stock Soln 3 (1 M) (uL),Metal Salt Stock Soln 4 (1 M) (uL),Organic Linker Stock Soln 1 (1 M) (uL),Organic Linker Stock Soln 2 (1 M) (uL),Organic Linker Stock Soln 3 (1 M) (uL),Organic Linker Stock Soln 4 (1M) (uL),Extra Solvent 1 (uL),Extra Solvent 2 (uL),Extra Solvent 3 (uL),Extra Solvent 4 (uL),Total Volume (uL)
1,270,270,270,,150,,,,64,64,,,1088
2,27,270,270,,150,,,,48,48,,,813
3,34,270,270,,150,,,,48,48,,,821
4,68,270,270,,150,,,,51,51,,,859
5,100,270,270,,150,,,,53,53,,,895
6,135,270,270,,150,,,,55,55,,,935
7,200,270,270,,150,,,,59,59,,,1009
8,250,270,270,,150,,,,63,63,,,1065
9,325,270,270,,150,,,,68,68,,,1150
10,425,270,270,,150,,,,74,74,,,1264
11,270,27,270,,150,,,,48,48,,,813
12,270,45,270,,150,,,,49,49,,,833
13,270,68,270,,150,,,,51,51,,,859
14,270,135,270,,150,,,,55,55,,,935
15,270,200,270,,150,,,,59,59,,,1009
16,270,250,270,,150,,,,63,63,,,1065
17,270,325,270,,150,,,,68,68,,,1150
18,270,425,270,,150,,,,74,74,,,1264
19,270,270,27,,150,,,,48,48,,,813
20,270,270,45,,150,,,,49,49,,,833
21,270,270,68,,150,,,,51,51,,,859
22,270,270,135,,150,,,,55,55,,,935
23,270,270,200,,150,,,,59,59,,,1009
24,270,270,250,,150,,,,63,63,,,1065
25,270,270,325,,150,,,,68,68,,,1150
26,270,270,425,,150,,,,74,74,,,1264
27,270,270,270,,27,,,,56,56,,,949
28,270,270,270,,45,,,,57,57,,,969
29,270,270,270,,68,,,,59,59,,,995
30,270,270,270,,135,,,,63,63,,,1071
31,270,270,270,,200,,,,67,67,,,1145
32,270,270,270,,250,,,,71,71,,,1201
33,270,270,270,,325,,,,76,76,,,1286
34,270,270,270,,375,,,,79,79,,,1343
35,270,270,270,,425,,,,82,82,,,1400
36,270,270,27,,27,,,,40,40,,,673
37,270,270,45,,45,,,,63,42,,,735
38,270,270,68,,68,,,,68,45,,,789
39,270,270,135,,135,,,,81,54,,,945
40,270,270,200,,200,,,,94,63,,,1097
41,270,270,250,,250,,,,104,69,,,1213
42,270,270,325,,325,,,,119,79,,,1388
43,270,270,375,,375,,,,129,86,,,1505
44,270,270,425,,425,,,,139,93,,,1622
45,270,27,27,,150,,,,47,32,,,553
46,270,45,45,,150,,,,34,51,,,595
47,270,68,68,,150,,,,37,56,,,649
48,270,135,135,,150,,,,46,69,,,805
49,270,200,200,,150,,,,55,82,,,957
50,270,250,250,,150,,,,61,92,,,1073
51,270,325,325,,150,,,,71,107,,,1248
52,270,375,375,,150,,,,78,117,,,1365
53,270,425,425,,150,,,,,,,,1270
54,27,27,270,,150,,,,,,,,474
55,45,45,270,,150,,,,,,,,510
56,68,68,270,,150,,,,,,,,556
57,135,135,270,,150,,,,,,,,690
58,200,200,270,,150,,,,,,,,820
59,250,250,270,,150,,,,,,,,920
60,325,325,270,,150,,,,,,,,1070
61,375,375,270,,150,,,,,,,,1170
62,425,425,270,,150,,,,,,,,1270
63,27,27,27,,150,,,,,,,,231
64,45,45,45,,150,,,,,,,,285
65,68,68,68,,150,,,,,,,,354
66,135,135,135,,150,,,,,,,,555
67,200,200,200,,150,,,,,,,,750
68,250,250,250,,150,,,,,,,,900
69,325,325,325,,150,,,,,,,,1125
70,375,375,375,,150,,,,,,,,1275
71,425,425,425,,150,,,,,,,,1425
72,27,270,27,,27,,,,,,,,351
73,45,270,45,,45,,,,,,,,405
74,68,270,68,,68,,,,,,,,474
75,135,270,135,,135,,,,,,,,675
76,200,270,200,,200,,,,,,,,870
77,250,270,250,,250,,,,,,,,1020
78,325,270,325,,325,,,,,,,,1245
79,375,270,375,,375,,,,,,,,1395
80,425,270,425,,425,,,,,,,,1545
81,27,27,270,,27,,,,,,,,351
82,45,45,270,,45,,,,,,,,405
83,68,68,270,,68,,,,,,,,474
84,135,135,270,,135,,,,,,,,675
85,200,200,270,,200,,,,,,,,870
86,250,250,270,,250,,,,,,,,1020
87,325,325,270,,325,,,,,,,,1245
88,425,425,270,,425,,,,,,,,1545
89,270,27,27,,27,,,,,,,,351
90,270,45,45,,45,,,,,,,,405
91,270,68,68,,68,,,,,,,,474
92,270,135,135,,135,,,,,,,,675
93,270,200,200,,200,,,,,,,,870
94,270,250,250,,250,,,,,,,,1020
95,270,325,325,,325,,,,,,,,1245
96,270,425,425,,425,,,,,,,,1545